beetag_exprun,col_num,exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID_collapsed_controls,red_day1,red_day11,red_delta,resp_rate,e_coli_plate,PAM_avg_day1,PAM_avg_day11,PAM_delta,log_PAM_delta
B26G52_exp3A,241,3,A,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.43386,0.45249,0.01863,-0.00534,0,0.541,0.55,0.009,0.009
B32G88_exp1B,172,1,B,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.43308,0.44508,0.012,-0.00274,1,0.396,0.517,0.121,0.121
W2O10_exp3B,250,3,B,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.40744,0.41135,0.00391,-0.00351,0,0.528,0.24,-0.288,-0.288
B26G51_exp2A,196,2,A,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.3323,0.40621,0.07391,-0.00713,0,0.521,0.484,-0.037,-0.037
W20O88_exp3B,252,3,B,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.46097,0.39486,-0.06611,NA,NA,NA,NA,NA,NA
B32G88_exp2B,225,2,B,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.37495,0.36374,-0.01121,-0.0041,1,0.485,0.485,0,0
B32G85_exp2B,188,2,B,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.30623,0.25203,-0.0542,NA,NA,0.564,0.469,-0.095,-0.095
B28G58_exp3A,235,3,A,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.2019,0.1955,-0.0064,NA,NA,0.448,0.477,0.029,0.029
G29Y71_exp1A,150,1,A,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.38521,0.59284,0.20763,-0.00469,0,0.1,0.338,0.238,0.238
G25Y45_exp2B,157,2,B,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.53314,0.512,-0.02114,-0.00513,0,0.514,0.019,-0.495,-0.495
