num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
12,08_15_22,2,A,2,0,D3,D3,-0.00214,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G34Y3,2A,G34Y3_exp2A,193,78,0
13,08_15_22,2,A,2,1,A4,A4,-0.0055,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G34Y4,2A,G34Y4_exp2A,207,78,0
12,08_20_22,2,B,2,0,D3,D3,-0.00391,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G28Y62,2B,G28Y62_exp2B,170,108,0
13,08_20_22,2,B,2,1,A4,A4,-0.00272,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G28Y63,2B,G28Y63_exp2B,212,108,0
13,09_01_22,3,A,2,1,A4,A4,-0.006,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G34Y4,3A,G34Y4_exp3A,237,142,0
12,09_01_22,3,A,2,0,D3,D3,-0.00196,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G34Y5,3A,G34Y5_exp3A,237,142,0
13,09_05_22,3,B,2,1,A4,A4,-0.00446,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,W7O32,3B,W7O32_exp3B,244,191,0
13,7_26_22,1,A,2,0,A4,A4,-0.00341,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,G25Y47,1A,G25Y47_exp1A,152,9,0
13,7_26_22,1,A,2,1,A4,A4,-0.00327,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,G25Y48,1A,G25Y48_exp1A,155,9,0
13,7_26_22,1,B,2,0,A4,A4,-0.00358,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,G24Y43,1B,G24Y43_exp1B,165,42,0
13,08_15_22,2,A,2,0,A4,A4,-0.00206,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,G34Y10,2A,G34Y10_exp2A,198,78,0
14,08_15_22,2,A,2,1,B4,B4,-0.00482,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,G34Y11,2A,G34Y11_exp2A,211,78,0
13,08_20_22,2,B,2,0,A4,A4,-0.00289,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,G28Y64,2B,G28Y64_exp2B,188,108,0
14,08_20_22,2,B,2,1,B4,B4,-0.0041,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,G28Y67,2B,G28Y67_exp2B,225,108,0
13,09_01_22,3,A,2,0,A4,A4,-0.00452,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,G34Y10,3A,G34Y10_exp3A,239,142,0
14,09_01_22,3,A,2,1,B4,B4,-0.00283,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,G34Y11,3A,G34Y11_exp3A,241,142,0
13,09_05_22,3,B,2,0,A4,A4,-0.00196,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,W7O34,3B,W7O34_exp3B,252,191,0
14,09_05_22,3,B,2,1,B4,B4,-0.00496,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,1.5,30,S,S,W7O35,3B,W7O35_exp3B,243,191,0
22,7_26_22,1,A,2,1,B6,B6,-0.00522,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,Y1B5,1A,Y1B5_exp1A,168,25,0
22,7_26_22,1,A,2,0,B6,B6,-0.00573,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,Y1B8,1A,Y1B8_exp1A,150,25,0
22,7_26_22,1,B,2,0,B6,B6,-0.00524,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,Y5B35,1B,Y5B35_exp1B,160,62,0
22,7_26_22,1,B,2,1,B6,B6,-0.00243,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,Y5B36,1B,Y5B36_exp1B,169,62,0
22,08_15_22,2,A,2,0,B6,B6,-0.00193,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,Y3B26,2A,Y3B26_exp2A,199,93,0
23,08_15_22,2,A,2,1,C6,C6,-0.00416,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,Y3B27,2A,Y3B27_exp2A,226,93,0
22,08_20_22,2,B,2,0,B6,B6,-0.00349,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,Y1B5,2B,Y1B5_exp2B,159,121,0
23,08_20_22,2,B,2,1,C6,C6,-0.00154,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,Y1B8,2B,Y1B8_exp2B,192,121,0
22,09_05_22,3,B,2,0,B6,B6,-0.00373,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,O12Y1,3B,O12Y1_exp3B,238,164,0
23,09_05_22,3,B,2,1,C6,C6,-0.00434,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,5,20,F,A,O12Y2,3B,O12Y2_exp3B,242,164,0
