date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,treat_ID_collapsed_controls,treat_ID_without_sym,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
06_29_22,06_30_22,187,B,187B,128,7,APO,2,A,B22,G28,B22G28,2A,B22G28_exp2A,187,66,20,0.247,0.52,0.273,1.105263158,-1.298283484,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_01_22,202,C,202C,135,14,APO,2,A,B22,G29,B22G29,2A,B22G29_exp2A,202,66,20,0.468,0.139,-0.329,-0.702991453,-1.111697528,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_07_22,228,G,228G,149,6,APO,2,A,B22,G30,B22G30,2A,B22G30_exp2A,228,66,20,0.153,0.569,0.416,2.718954248,-0.877070019,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,186,G,186G,128,1,SYM,2,A,B22,G31,B22G31,2A,B22G31_exp2A,186,66,20,0.487,0.44,-0.047,-0.09650924,-3.057607677,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,174,I,174I,121,9,APO,2,A,B25,G43,B25G43,2A,B25G43_exp2A,174,69,30,0.353,0.178,-0.175,-0.495750708,-1.742969305,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,07_01_22,201,G,201G,135,6,APO,2,A,B25,G44,B25G44,2A,B25G44_exp2A,201,69,30,0.467,0.485,0.018,0.038543897,-4.017383521,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,07_07_22,226,O,226O,148,8,APO,2,A,B25,G45,B25G45,2A,B25G45_exp2A,226,69,30,0.36,0.282,-0.078,-0.216666667,-2.551046452,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,185,H,185H,127,7,SYM,2,A,B25,G46,B25G46,2A,B25G46_exp2A,185,69,30,0.447,0.402,-0.045,-0.100671141,-3.101092789,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_01_22,206,K,206K,137,7,SYM,2,A,B25,G47,B25G47,2A,B25G47_exp2A,206,69,30,0.237,0.485,0.248,1.046413502,-1.394326533,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,193,B,193B,130,5,APO,2,A,B26,G48,B26G48,2A,B26G48_exp2A,193,70,30,0.484,0.057,-0.427,-0.882231405,-0.850971266,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_01_22,206,B,206B,136,14,APO,2,A,B26,G49,B26G49,2A,B26G49_exp2A,206,70,30,0.369,0.398,0.029,0.078590786,-3.540459449,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_07_22,230,C,230C,150,2,APO,2,A,B26,G50,B26G50,2A,B26G50_exp2A,230,70,30,0.374,0.523,0.149,0.398395722,-1.903808973,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,196,P,196P,132,9,SYM,2,A,B26,G51,B26G51,2A,B26G51_exp2A,196,70,30,0.521,0.484,-0.037,-0.071017274,-3.296837366,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,07_05_22,208,F,208F,139,6,SYM,2,A,B26,G52,B26G52,2A,B26G52_exp2A,208,70,30,0.019,0.509,0.49,25.78947368,-0.713349888,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_22_22,06_24_22,149,D,149D,101,3,APO,2,B,B14,G14,B14G14,2B,B14G14_exp2B,149,97,20,0.562,0.361,-0.201,-0.357651246,-1.604450371,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,184,I,184I,126,7,APO,2,B,B14,G15,B14G15,2B,B14G15_exp2B,184,97,20,0.53,0.51,-0.02,-0.037735849,-3.912023005,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_22_22,06_24_22,159,D,159D,109,13,SYM,2,B,B14,G17,B14G17,2B,B14G17_exp2B,159,97,20,0.402,0.362,-0.04,-0.099502488,-3.218875825,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_01_22,202,D,202D,135,15,SYM,2,B,B14,G20,B14G20,2B,B14G20_exp2B,202,97,20,0.56,0.157,-0.403,-0.719642857,-0.908818717,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_07_22,223,D,223D,145,14,SYM,2,B,B14,G21,B14G21,2B,B14G21_exp2B,223,97,20,0.544,0.569,0.025,0.045955882,-3.688879454,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
