,date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state_full,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,resp_rate,resp_rate,col_num.1,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,treat_ID_collapsed_controls,treat_ID_without_sym,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
83,08_01_22,08_02_22,237,Z,237Z,155,12,APO,3,A,B23,G34,B23G34,3A,B23G34_exp3A,-0.00535,-0.00535,237,131,20,0.415,0.405,-0.01,-0.024096386,-4.605170186,A_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
84,08_01_22,8_05_22,244,N,244N,168,9,APO,3,B,O3,B14,O3B14,3B,O3B14_exp3B,-0.00510,-0.00510,244,173,20,0.331,0.418,0.087,0.262839879,-2.44184716,A_0_20_F_S,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
85,06_29_22,07_07_22,217,G,217G,143,14,SYM,2,B,B34,G3310,B34G3310,2B,B34G3310_exp2B,NA,NA,217,104,30,0.542,0.5,-0.042,-0.077490775,-3.170085661,A_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
86,08_01_22,08_03_22,241,X,241X,164,10,SYM,3,A,B29,G71,B29G71,3A,B29G71_exp3A,-0.00892,-0.00892,241,136,30,0.569,0.546,-0.023,-0.040421793,-3.772261063,A_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
87,08_01_22,08_03_22,240,C,240C,161,13,SYM,3,A,B28,G62,B28G62,3A,B28G62_exp3A,-0.00305,-0.00305,240,135,30,0.485,0.508,0.023,0.04742268,-3.772261063,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
88,06_29_22,07_01_22,198,F,198F,133,14,APO,2,A,B29,G64,B29G64,2A,B29G64_exp2A,-0.00312,-0.00312,198,72,30,0.49,0.523,0.033,0.067346939,-3.411247718,A_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
89,08_01_22,08_03_22,242,AE,242AE,166,12,APO,3,B,O2,B8,O2B8,3B,O2B8_exp3B,-0.00384,-0.00384,242,169,20,0.425,0.475,0.05,0.117647059,-2.995732274,A_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
90,06_29_22,07_01_22,197,B,197B,133,2,APO,2,A,B24,G38,B24G38,2A,B24G38_exp2A,NA,NA,197,68,20,0.468,0.567,0.099,0.211538462,-2.312635429,A_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
91,06_29_22,07_07_22,233,D,233D,151,8,APO,2,A,B24,G40,B24G40,2A,B24G40_exp2A,NA,NA,233,68,20,0.443,0.072,-0.371,-0.837471783,-0.991553216,A_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
92,08_01_22,8_06_22,254,A,254A,176,3,SYM,3,B,O4,B24,O4B24,3B,O4B24_exp3B,-0.00509,-0.00509,254,174,20,0.584,0.385,-0.199,-0.340753425,-1.614450454,A_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
93,06_29_22,07_07_22,233,J,233J,151,14,SYM,2,B,B30,G76,B30G76,2B,B30G76_exp2B,-0.00376,-0.00376,233,100,20,0.561,0.623,0.062,0.110516934,-2.780620894,A_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
94,06_22_22,06_24_22,160,G,160G,110,5,APO,1,A,B31,G77,B31G77,1A,B31G77_exp1A,-0.00448,-0.00448,160,6,30,0.301,0.184,-0.117,-0.388704319,-2.145581344,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
95,06_29_22,06_30_22,167,G,167G,113,14,SYM,1,B,B13,G10,B13G10,1B,B13G10_exp1B,-0.00427,-0.00427,167,33,30,0.409,0.433,0.024,0.058679707,-3.729701449,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
96,06_29_22,07_05_22,211,H,211H,141,6,SYM,2,B,B33,G94,B33G94,2B,B33G94_exp2B,NA,NA,211,103,30,0.153,0.461,0.308,2.013071895,-1.177655496,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
97,06_29_22,07_01_22,205,C,205C,136,7,SYM,2,A,B29,G70,B29G70,2A,B29G70_exp2A,-0.00815,-0.00815,205,72,30,0.452,0.019,-0.433,-0.957964602,-0.837017551,A_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
98,08_01_22,08_03_22,240,L,240L,162,6,SYM,3,A,B29,G70,B29G70,3A,B29G70_exp3A,-0.00558,-0.00558,240,136,30,0.502,0.455,-0.047,-0.093625498,-3.057607677,A_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
99,06_29_22,06_30_22,170,H,170H,117,11,APO,2,B,B27,G53,B27G53,2B,B27G53_exp2B,-0.00593,-0.00593,170,99,20,0.46,0.538,0.078,0.169565217,-2.551046452,A_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
100,08_01_22,8_05_22,245,F,245F,169,1,SYM,3,B,W4,O23,W4O23,3B,W4O23_exp3B,-0.00352,-0.00352,245,189,30,0.046,0.449,0.403,8.760869565,-0.908818717,A_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
101,06_29_22,06_30_22,178,B,178B,122,15,SYM,1,B,B13,G13,B13G13,1B,B13G13_exp1B,-0.00264,-0.00264,178,33,30,0.315,0.509,0.194,0.615873016,-1.63989712,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
102,06_22_22,06_24_22,155,E,155E,106,8,SYM,1,A,B24,G42,B24G42,1A,B24G42_exp1A,-0.00385,-0.00385,155,3,20,0.287,0.375,0.088,0.306620209,-2.430418465,A_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
103,06_22_22,06_23_22,144,M,144M,99,5,SYM,1,A,B33,G93,B33G93,1A,B33G93_exp1A,-0.00261,-0.00261,144,7,30,0.337,0.264,-0.073,-0.216617211,-2.617295838,A_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
104,08_01_22,8_05_22,252,AB,252AB,174,13,SYM,3,B,W3,O17,W3O17,3B,W3O17_exp3B,-0.00320,-0.00320,252,188,30,0.537,0.217,-0.32,-0.595903166,-1.139434283,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
105,08_01_22,08_02_22,237,BN,237BN,158,4,APO,3,A,B28,G60,B28G60,3A,B28G60_exp3A,-0.00402,-0.00402,237,135,30,0.449,0.456,0.007,0.0155902,-4.96184513,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
106,06_22_22,06_24_22,157,I,157I,107,9,SYM,1,A,B33,G95,B33G95,1A,B33G95_exp1A,-0.00826,-0.00826,157,7,30,0.347,0.571,0.224,0.645533141,-1.496109227,A_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
107,06_29_22,07_07_22,220,A,220A,144,7,SYM,2,A,B23,G37,B23G37,2A,B23G37_exp2A,-0.00696,-0.00696,220,67,20,0.525,0.135,-0.39,-0.742857143,-0.94160854,A_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
108,06_29_22,06_30_22,167,E,167E,113,12,APO,1,B,B26,G48,B26G48,1B,B26G48_exp1B,NA,NA,167,37,20,0.333,0.541,0.208,0.624624625,-1.570217199,A_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
109,08_01_22,08_02_22,237,BJ,237BJ,157,16,APO,3,A,B23,G35,B23G35,3A,B23G35_exp3A,-0.00380,-0.00380,237,131,20,0.475,0.401,-0.074,-0.155789474,-2.603690186,A_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
110,08_01_22,08_03_22,241,I,241I,163,11,SYM,3,A,B23,G37,B23G37,3A,B23G37_exp3A,-0.00414,-0.00414,241,131,20,0.601,0.472,-0.129,-0.214642263,-2.047942875,A_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
111,06_22_22,06_24_22,152,P,152P,104,1,APO,1,A,B24,G38,B24G38,1A,B24G38_exp1A,-0.00499,-0.00499,152,3,20,0.337,0.553,0.216,0.640949555,-1.532476871,A_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
112,06_29_22,07_07_22,226,F,226F,147,15,SYM,2,B,B27,G57,B27G57,2B,B27G57_exp2B,-0.00425,-0.00425,226,99,20,0.552,0.059,-0.493,-0.893115942,-0.707246105,A_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
113,08_01_22,08_03_22,243,M,243M,167,9,SYM,3,B,W3,O20,W3O20,3B,W3O20_exp3B,NA,NA,243,188,30,0.561,0.592,0.031,0.055258467,-3.473768074,A_0_30_S_A,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
114,08_01_22,08_02_22,237,BS,237BS,158,9,APO,3,A,B24,G40,B24G40,3A,B24G40_exp3A,-0.00095,-0.00095,237,132,20,0.349,0.331,-0.018,-0.051575931,-4.017383521,A_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
115,06_22_22,06_23_22,143,A,143A,97,14,SYM,1,A,B24,G40,B24G40,1A,B24G40_exp1A,-0.00184,-0.00184,143,3,20,0.406,0.111,-0.295,-0.726600985,-1.220779923,A_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
116,06_29_22,07_05_22,211,C,211C,141,1,SYM,2,B,B27,G56,B27G56,2B,B27G56_exp2B,-0.00282,-0.00282,211,99,20,0.565,0.162,-0.403,-0.713274336,-0.908818717,A_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
117,08_01_22,08_02_22,237,AJ,237AJ,156,6,APO,3,A,B24,G39,B24G39,3A,B24G39_exp3A,NA,NA,237,132,20,0.532,0.536,0.004,0.007518797,-5.521460918,A_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
118,08_01_22,8_05_22,248,D,248D,170,9,SYM,3,B,W3,O15,W3O15,3B,W3O15_exp3B,-0.00511,-0.00511,248,188,30,0.078,0.337,0.259,3.320512821,-1.350927217,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
119,08_01_22,08_03_22,242,O,242O,165,12,APO,3,B,W4,O21,W4O21,3B,W4O21_exp3B,-0.00431,-0.00431,242,189,30,0.483,0.614,0.131,0.271221532,-2.032557956,A_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
120,06_22_22,06_24_22,146,D,146D,100,4,APO,1,A,B34,G100,B34G100,1A,B34G100_exp1A,-0.00298,-0.00298,146,8,20,0.189,0.274,0.085,0.44973545,-2.465104022,A_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
