num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,N_dose,control_or_nutrient,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
11,7_26_22,1,A,3,0,C3,C3,-0.00501,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,R8W40,1A,R8W40_exp1A,154,24,0
11,7_26_22,1,A,3,1,C3,C3,-0.00709,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,R8W41,1A,R8W41_exp1A,154,24,0
11,7_26_22,1,B,3,0,C3,C3,-0.00304,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,R14W71,1B,R14W71_exp1B,180,52,0
11,7_26_22,1,B,3,1,C3,C3,-0.00451,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,R14W72,1B,R14W72_exp1B,187,52,0
11,08_15_22,2,A,3,1,C3,C3,-0.00414,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,R13W64,2A,R13W64_exp2A,233,84,0
11,08_20_22,2,B,3,1,C3,C3,-0.00352,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,R6W29,2B,R6W29_exp2B,224,118,0
11,09_01_22,3,A,3,0,C3,C3,-0.00329,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,R13W63,3A,R13W63_exp3A,237,148,0
11,09_01_22,3,A,3,1,C3,C3,-0.00582,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,R13W64,3A,R13W64_exp3A,238,148,0
11,09_05_22,3,B,3,0,C3,C3,-0.00237,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,O22W44,3B,O22W44_exp3B,242,172,0
11,09_05_22,3,B,3,1,C3,C3,-0.00552,A_10_20_S_A,A_10_20_S_A,S_A,A_10,A,10,Nutrient,20,S,A,O22W45,3B,O22W45_exp3B,250,172,0
12,7_26_22,1,A,3,0,D3,D3,-0.0073,A_10_20_S_S,A_10_20_S_S,S_S,A_10,A,10,Nutrient,20,S,S,R8W42,1A,R8W42_exp1A,144,24,0
12,7_26_22,1,A,3,1,D3,D3,-0.00696,A_10_20_S_S,A_10_20_S_S,S_S,A_10,A,10,Nutrient,20,S,S,R8W43,1A,R8W43_exp1A,153,24,0
12,7_26_22,1,B,3,0,D3,D3,-0.00391,A_10_20_S_S,A_10_20_S_S,S_S,A_10,A,10,Nutrient,20,S,S,R14W73,1B,R14W73_exp1B,167,52,0
