exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID,beetag,beetag_exp_concat,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_delta
1,B,A,10,A_10,20,S,S,S_S,A_10_20_S_S,R14W73,R14W73_exp1B,1,R14W73_day1_exp1B,R14W73_1B_day1.JPG,0.58332,R14W73_day11_exp1B,R14W73_1B_day11.JPG,0.52085,-0.06247
1,B,N,5,N_5,30,F,S,F_S,N_5_30_F_S,Y7B43,Y7B43_exp1B,1,Y7B43_day1_exp1B,Y7B43_1B_day1.JPG,0.50146,Y7B43_day11_exp1B,Y7B43_1B_day11.JPG,0.52009,0.01863
3,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,O5G3,O5G3_exp3B,1,O5G3_day1_exp3B,O5G3_3B_day1.JPG,0.45061,O5G3_day11_exp3B,O5W3_3B_day11.JPG,0.51918,0.06857
2,A,N,5,N_5,20,F,A,F_A,N_5_20_F_A,Y3B25,Y3B25_exp2A,1,Y3B25_day1_exp2A,Y3B25_2A_day1.JPG,0.56032,Y3B25_day11_exp2A,Y3B25_2A_day11.JPG,0.51719,-0.04313
2,A,A,7.5,A_7.5,20,F,A,F_A,A_7.5_20_F_A,Y7B41,Y7B41_exp2A,1,Y7B41_day1_exp2A,Y7B41_2A_day1.JPG,0.42746,Y7B41_day11_exp2A,Y7B41_2A_day11.JPG,0.51713,0.08967
2,A,A,10,A_10,20,S,S,S_S,A_10_20_S_S,R13W64,R13W64_exp2A,1,R13W64_day1_exp2A,R13W64_2A_day1.JPG,0.52546,R13W64_day11_exp2A,R13W64_2A_day11.JPG,0.51672,-0.00874
2,B,A,5,A_5,30,F,A,F_A,A_5_30_F_A,G29Y70,G29Y70_exp2B,11,G29Y70_day1_exp2B,G29Y70_2B_day1.JPG,0.42281,G29Y70_day11_exp2B,G29Y70_2B_day11.JPG,0.51665,0.09384
1,A,N,0,N_0,30,S,S,S_S,CNTRL_30_S_S,B30G74,B30G74_exp1A,1,B30G74_day1_exp1A,B30G74_1A_day1.JPG,0.47997,B30G74_day11_exp1A,B30G74_1A_day11.JPG,0.51629,0.03632
1,B,A,7.5,A_7.5,30,S,S,S_S,A_7.5_30_S_S,Y4B33,Y4B33_exp1B,1,Y4B33_day1_exp1B,Y4B33_1B_day1.JPG,0.53661,Y4B33_day11_exp1B,Y4B33_1B_day11.JPG,0.51591,-0.0207
1,B,A,5,A_5,20,F,A,F_A,A_5_20_F_A,G35Y12,G35Y12_exp1B,1,G35Y12_day1_exp1B,G35Y12_1B_day1.JPG,0.52175,G35Y12_day11_exp1B,G35Y12_1B_day11.JPG,0.51584,-0.00591
3,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,O8G11,O8G11_exp3B,1,O8G11_day1_exp3B,O8G11_3B_day1.JPG,0.54861,O8G11_day11_exp3B,O8W11_3B_day11.JPG,0.51524,-0.03337
2,B,A,0,A_0,30,F,S,F_S,CNTRL_30_F_S,B33G95,B33G95_exp2B,1,B33G95_day1_exp2B,B33G95_2B_day1.JPG,0.39021,B33G95_day11_exp2B,B33G95_2B_day11.JPG,0.51502,0.12481
