beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
Y15B83_exp2B,-0.00408,0.04596,-0.193,N_5_30_S,5,30,S,0,189
W12O53_exp3B,-0.00552,-0.09663,-0.199,N_5_30_S,5,30,S,0,247
B13G2_exp3A,-0.0041,0.0347,-0.116,CNTRL_20_A,0,20,A,1,223
B13G8_exp2A,-0.00394,-0.01362,-0.044,CNTRL_20_A,0,20,A,1,226
B22G29_exp1B,-0.00306,0.0143,0.213,CNTRL_20_A,0,20,A,1,183
B14G15_exp1A,-0.00422,0.01487,0.072,CNTRL_20_A,0,20,A,1,150
B14G15_exp2B,-0.00476,-0.00672,-0.02,CNTRL_20_A,0,20,A,1,184
B14G21_exp2B,-0.00339,-0.01022,0.025,CNTRL_20_S,0,20,S,1,223
B22G31_exp1B,-0.0036,-0.03741,0.196,CNTRL_20_S,0,20,S,1,171
B14G20_exp1A,-0.00275,0.04946,0.174,CNTRL_20_S,0,20,S,1,145
O1B2_exp3B,-0.00659,0.00264,0.02,CNTRL_20_S,0,20,S,1,242
B13G13_exp2A,-0.00479,-0.03859,-0.257,CNTRL_20_S,0,20,S,1,206
B13G10_exp3A,-0.00521,-0.02802,0.046,CNTRL_20_S,0,20,S,1,239
B23G35_exp1B,-0.00228,0.02549,0.169,CNTRL_20_A,0,20,A,1,184
B22G29_exp3A,-0.00347,-0.04129,-0.146,CNTRL_20_A,0,20,A,1,237
B15G23_exp2B,-0.00794,0.03543,-0.062,CNTRL_20_A,0,20,A,1,203
B22G30_exp2A,-0.00715,-0.17915,0.416,CNTRL_20_S,0,20,S,1,228
B15G25_exp1A,-0.00514,-0.0112,0.136,CNTRL_20_S,0,20,S,1,157
B22G27_exp3A,-0.00465,-0.03489,-0.573,CNTRL_20_S,0,20,S,1,241
B22G31_exp2A,-0.00675,0.04099,-0.047,CNTRL_20_S,0,20,S,1,186
B23G37_exp1B,-0.0026,0.01709,0.028,CNTRL_20_S,0,20,S,1,172
B15G25_exp2B,-0.00487,0.03037,0.082,CNTRL_20_S,0,20,S,1,208
O2B11_exp3B,-0.0052,-0.08212,0.044,CNTRL_20_S,0,20,S,1,252
B29G67_exp1B,-0.00445,0.00748,-0.194,CNTRL_30_A,0,30,A,1,183
B25G45_exp2A,-0.00347,0.04594,-0.078,CNTRL_30_A,0,30,A,1,226
B25G43_exp3A,-0.00355,0.04865,-0.26,CNTRL_30_A,0,30,A,1,226
B31G78_exp2B,-0.00401,0.05848,-0.166,CNTRL_30_A,0,30,A,1,195
B26G48_exp3A,-0.00598,0.03119,-0.19,CNTRL_30_A,0,30,A,1,229
B27G53_exp1A,-0.00303,0.05703,0.102,CNTRL_30_A,0,30,A,1,168
B25G47_exp2A,-0.00501,0.0035,0.248,CNTRL_30_S,0,30,S,1,206
B27G56_exp1A,-0.0052,0.05292,0.057,CNTRL_30_S,0,30,S,1,147
B25G46_exp3A,-0.00517,0.00414,-0.01,CNTRL_30_S,0,30,S,1,239
B29G71_exp1B,-0.00298,-0.0376,0.115,CNTRL_30_S,0,30,S,1,171
W1O4_exp3B,-0.0051,-0.01628,0.337,CNTRL_30_S,0,30,S,1,245
B31G82_exp2B,-0.00467,0.01565,-0.081,CNTRL_30_S,0,30,S,1,223
W1O2_exp3B,-0.00329,-0.06492,-0.055,CNTRL_30_S,0,30,S,1,242
B26G51_exp3A,-0.00489,0.10047,-0.005,CNTRL_30_A,0,30,A,1,239
B30G72_exp1A,-0.00244,0.00186,0.136,CNTRL_30_A,0,30,A,1,162
B32G84_exp2B,-0.00068,-0.02751,-0.013,CNTRL_30_A,0,30,A,1,211
B26G49_exp2A,-0.00219,-0.04885,0.029,CNTRL_30_A,0,30,A,1,206
B32G84_exp1B,-0.00247,-0.02933,0.042,CNTRL_30_A,0,30,A,1,171
B30G76_exp1A,-0.00492,-0.03191,0.285,CNTRL_30_S,0,30,S,1,157
W2O11_exp3B,-0.00215,0.12348,-0.251,CNTRL_30_S,0,30,S,1,252
B26G52_exp2A,-0.00346,0.09648,0.49,CNTRL_30_S,0,30,S,1,208
B32G88_exp1B,-0.00274,0.012,0.121,CNTRL_30_S,0,30,S,1,172
B32G88_exp2B,-0.0041,-0.01121,0,CNTRL_30_S,0,30,S,1,225
G23Y5017_exp2A,-0.00293,0.04683,0.174,N_1.5_20_A,1.5,20,A,1,174
G29Y70_exp1A,-0.0063,0.05871,0.202,N_1.5_20_A,1.5,20,A,1,168
G23Y1819_exp3A,-0.00275,-0.01675,0.056,N_1.5_20_A,1.5,20,A,1,223
G30Y76_exp1B,-0.00245,0.01415,0.218,N_1.5_20_A,1.5,20,A,1,169
G25Y46_exp2B,-0.00364,-0.0218,-0.061,N_1.5_20_A,1.5,20,A,1,184
O5G3_exp3B,-0.00482,0.06857,0.034,N_1.5_20_S,1.5,20,S,1,242
G30Y79_exp1B,-0.00527,-0.00397,0.211,N_1.5_20_S,1.5,20,S,1,171
G25Y49_exp2B,-0.00367,0.01674,0.075,N_1.5_20_S,1.5,20,S,1,223
G23Y3130_exp3A,-0.00772,0.09797,-0.38,N_1.5_20_S,1.5,20,S,1,239
G29Y74_exp1A,-0.00507,-0.06849,0.102,N_1.5_20_S,1.5,20,S,1,153
G23Y3130_exp2A,-0.00378,-0.14407,-0.48,N_1.5_20_S,1.5,20,S,1,206
O5G7_exp3B,-0.00607,0.16149,0.28,N_1.5_20_A,1.5,20,A,1,256
G27Y56_exp2B,-0.00225,0.02177,0.015,N_1.5_20_A,1.5,20,A,1,206
G31Y80_exp1A,-0.00329,0.02463,0.097,N_1.5_20_A,1.5,20,A,1,168
G24Y42_exp2A,-0.00604,-0.00146,-0.296,N_1.5_20_A,1.5,20,A,1,228
G34Y5_exp1B,-0.00292,0.05286,0.501,N_1.5_20_A,1.5,20,A,1,184
G24Y40_exp3A,-0.00477,0.01753,0.016,N_1.5_20_A,1.5,20,A,1,227
G31Y85_exp1A,-0.00738,-0.06284,-0.06,N_1.5_20_S,1.5,20,S,1,157
G34Y11_exp1B,-0.00507,0.02813,0.095,N_1.5_20_S,1.5,20,S,1,172
G27Y59_exp2B,-0.00465,0.03547,0.054,N_1.5_20_S,1.5,20,S,1,225
G24Y44_exp2A,-0.00635,0.01672,-0.166,N_1.5_20_S,1.5,20,S,1,208
G24Y43_exp3A,-0.00637,-0.05065,-0.514,N_1.5_20_S,1.5,20,S,1,239
G26Y52_exp2B,-0.00682,-0.01094,-0.424,N_1.5_30_A,1.5,30,A,1,175
W5O28_exp3B,-0.00266,-0.025,0.2,N_1.5_30_A,1.5,30,A,1,256
