num,date,time,temp,light_intensity,chamber_or_temperate,exp_num,exp_A,exp_B
246,7/20/2022,12:43:50 PM,29.252,1001,chamber,1,1,1
247,7/20/2022,1:13:50 PM,29.152,419.8,chamber,1,1,1
248,7/20/2022,1:43:50 PM,29.053,1001,chamber,1,1,1
249,7/20/2022,2:13:50 PM,29.053,473.6,chamber,1,1,1
250,7/20/2022,2:43:50 PM,28.953,1097.9,chamber,1,1,1
251,7/20/2022,3:13:50 PM,29.552,882.6,chamber,1,1,1
252,7/20/2022,3:43:50 PM,29.752,871.9,chamber,1,1,1
253,7/20/2022,4:13:50 PM,29.953,861.1,chamber,1,1,1
254,7/20/2022,4:43:50 PM,30.054,861.1,chamber,1,1,1
255,7/20/2022,5:13:50 PM,30.154,0,chamber,1,1,1
256,7/20/2022,5:43:50 PM,30.154,376.7,chamber,1,1,1
257,7/20/2022,6:13:50 PM,30.255,0,chamber,1,1,1
258,7/20/2022,6:43:50 PM,30.154,861.1,chamber,1,1,1
259,7/20/2022,7:13:50 PM,30.154,0,chamber,1,1,1
260,7/20/2022,7:43:50 PM,30.154,0,chamber,1,1,1
261,7/20/2022,8:13:50 PM,30.154,366,chamber,1,1,1
262,7/20/2022,8:43:50 PM,29.953,0,chamber,1,1,1
263,7/20/2022,9:13:50 PM,29.953,0,chamber,1,1,1
264,7/20/2022,9:43:50 PM,29.953,0,chamber,1,1,1
265,7/20/2022,10:13:50 PM,29.953,0,chamber,1,1,1
266,7/20/2022,10:43:50 PM,29.953,0,chamber,1,1,1
267,7/20/2022,11:13:50 PM,29.953,0,chamber,1,1,1
268,7/20/2022,11:43:50 PM,29.853,0,chamber,1,1,1
269,7/21/2022,12:13:50 AM,29.853,0,chamber,1,1,1
270,7/21/2022,12:43:50 AM,29.752,0,chamber,1,1,1
271,7/21/2022,1:13:50 AM,29.652,0,chamber,1,1,1
272,7/21/2022,1:43:50 AM,29.652,0,chamber,1,1,1
273,7/21/2022,2:13:50 AM,29.652,0,chamber,1,1,1
274,7/21/2022,2:43:50 AM,29.552,0,chamber,1,1,1
275,7/21/2022,3:13:50 AM,29.552,0,chamber,1,1,1
276,7/21/2022,3:43:50 AM,29.552,0,chamber,1,1,1
277,7/21/2022,4:13:50 AM,29.552,0,chamber,1,1,1
278,7/21/2022,4:43:50 AM,29.452,0,chamber,1,1,1
279,7/21/2022,5:13:50 AM,29.452,0,chamber,1,1,1
280,7/21/2022,5:43:50 AM,29.452,0,chamber,1,1,1
281,7/21/2022,6:13:50 AM,29.552,0,chamber,1,1,1
282,7/21/2022,6:43:50 AM,29.352,0,chamber,1,1,1
283,7/21/2022,7:13:50 AM,29.352,0,chamber,1,1,1
284,7/21/2022,7:43:50 AM,29.352,0,chamber,1,1,1
285,7/21/2022,8:13:50 AM,29.352,312.2,chamber,1,1,1
286,7/21/2022,8:43:50 AM,29.352,0,chamber,1,1,1
287,7/21/2022,9:13:50 AM,29.452,312.2,chamber,1,1,1
288,7/21/2022,9:43:50 AM,29.552,796.5,chamber,1,1,1
289,7/21/2022,10:13:50 AM,29.652,796.5,chamber,1,1,1
290,7/21/2022,10:43:50 AM,29.752,818.1,chamber,1,1,1
291,7/21/2022,11:13:50 AM,29.853,861.1,chamber,1,1,1
292,7/21/2022,11:43:50 AM,29.853,882.6,chamber,1,1,1
293,7/21/2022,12:13:50 PM,30.054,861.1,chamber,1,1,1
294,7/21/2022,12:43:50 PM,29.953,936.5,chamber,1,1,1
295,7/21/2022,1:13:50 PM,30.154,32.3,chamber,1,1,1
296,7/21/2022,1:43:50 PM,30.457,914.9,chamber,1,1,1
297,7/21/2022,2:13:50 PM,30.659,914.9,chamber,1,1,1
298,7/21/2022,2:43:50 PM,30.76,914.9,chamber,1,1,1
299,7/21/2022,3:13:50 PM,30.76,914.9,chamber,1,1,1
300,7/21/2022,3:43:50 PM,30.862,914.9,chamber,1,1,1
301,7/21/2022,4:13:50 PM,30.862,914.9,chamber,1,1,1
302,7/21/2022,4:43:50 PM,30.862,925.7,chamber,1,1,1
303,7/21/2022,5:13:50 PM,30.862,398.3,chamber,1,1,1
304,7/21/2022,5:43:50 PM,30.963,914.9,chamber,1,1,1
305,7/21/2022,6:13:50 PM,30.963,893.4,chamber,1,1,1
306,7/21/2022,6:43:50 PM,30.963,882.6,chamber,1,1,1
