num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
16,08_20_22,2,B,1,0,D4,D4,-0.00223,-0.051867893,0.051867893,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G80,2B,B31G80_exp2B,206,101,0
17,08_20_22,2,B,1,1,A5,A5,-0.00467,-0.057669903,0.057669903,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G82,2B,B31G82_exp2B,223,101,0
17,09_01_22,3,A,1,1,A5,A5,-0.00517,-0.085989784,0.085989784,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G46,3A,B25G46_exp3A,239,133,0
16,09_01_22,3,A,1,0,D4,D4,-0.00385,-0.02334343,0.02334343,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G47,3A,B25G47_exp3A,240,133,0
16,09_05_22,3,B,1,0,D4,D4,-0.00446,-0.035351067,0.035351067,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W1O3,3B,W1O3_exp3B,251,177,0
17,09_05_22,3,B,1,1,A5,A5,-0.0051,NA,NA,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W1O4,3B,W1O4_exp3B,245,177,0
18,7_26_22,1,A,1,1,B5,B5,-0.00244,-0.053819186,0.053819186,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B30G72,1A,B30G72_exp1A,162,5,0
17,7_26_22,1,A,1,0,A5,A5,-0.00178,-0.035581522,0.035581522,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B30G73,1A,B30G73_exp1A,151,5,0
17,7_26_22,1,B,1,0,A5,A5,-0.00243,-0.107533066,0.107533066,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B32G83,1B,B32G83_exp1B,166,40,0
18,7_26_22,1,B,1,1,B5,B5,-0.00247,-0.06725436,0.06725436,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B32G84,1B,B32G84_exp1B,171,40,0
17,08_15_22,2,A,1,0,A5,A5,-0.00584,-0.140611189,0.140611189,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G48,2A,B26G48_exp2A,193,70,0
18,08_15_22,2,A,1,1,B5,B5,-0.00219,-0.057115553,0.057115553,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G49,2A,B26G49_exp2A,206,70,0
17,08_20_22,2,B,1,0,A5,A5,-0.00332,-0.044019645,0.044019645,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B32G83,2B,B32G83_exp2B,170,102,0
18,08_20_22,2,B,1,1,B5,B5,-0.00068,-0.021545761,0.021545761,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B32G84,2B,B32G84_exp2B,211,102,0
18,09_01_22,3,A,1,1,B5,B5,-0.00598,-0.087619858,0.087619858,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G48,3A,B26G48_exp3A,229,134,0
17,09_01_22,3,A,1,0,A5,A5,-0.0078,-0.146336596,0.146336596,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G50,3A,B26G50_exp3A,237,134,0
17,09_05_22,3,B,1,0,A5,A5,-0.00787,-0.069302893,0.069302893,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,W2O7,3B,W2O7_exp3B,238,186,0
