,beetag,exprun,n_species,col_num,beetag_exprun,treat_ID_full,treat_ID_dose_temp_food,NO3_mean_observed,NH4_mean_observed,N_species_dose,temp,food,sym_state,red_day1,green_day1,blue_day1,red_day11,green_day11,blue_day11,red_delta,red_percent_change,NO3_category
190,R15W76,exp1B,Ammonium,181,R15W76_exp1B,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,174.7809998,188.3602083,136.8972588,166.3226289,178.5885713,124.5691814,-8.458370886,-4.839410974,Low
744,R15W76,exp2A,Nitrate,209,R15W76_exp2A,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18,30,S,A,61.6200244,53.66484886,38.13975768,72.33013925,63.03019254,51.70911341,10.71011485,17.38090004,Elevated
817,R15W76,exp3A,Nitrate,237,R15W76_exp3A,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18,30,S,A,156.6324639,163.186078,129.8053887,134.2261875,142.0920567,101.8835135,-22.4062764,-14.30500156,Elevated
827,R15W77,exp2A,Nitrate,231,R15W77_exp2A,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18,30,S,A,148.7517297,174.2162681,153.5271866,109.6910334,128.8376729,75.70128866,-39.0606963,-26.25898629,Elevated
192,R15W79,exp1B,Ammonium,185,R15W79_exp1B,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,165.8924332,146.3254803,97.46000473,157.2205008,137.0162049,85.47118912,-8.671932418,-5.227443019,Low
794,R17W80,exp1B,Nitrate,167,R17W80_exp1B,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18,30,S,A,181.3622844,138.7639869,116.4102955,176.1679007,144.2404946,125.2809733,-5.194383754,-2.864092592,Elevated
197,R17W80,exp2A,Ammonium,196,R17W80_exp2A,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,120.2117596,107.173075,75.32592576,112.1741556,98.22583916,64.52732174,-8.037604001,-6.686204434,Low
179,R17W80,exp3A,Ammonium,235,R17W80_exp3A,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,167.9303569,175.7776934,132.438665,166.5670104,180.770578,134.297924,-1.363346484,-0.811852312,Low
766,R17W82,exp1B,Nitrate,177,R17W82_exp1B,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18,30,S,A,155.3656423,162.7000616,138.6206259,164.7250841,173.2085169,152.273755,9.359441897,6.024138775,Elevated
205,R17W82,exp2A,Ammonium,210,R17W82_exp2A,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,139.716458,137.3835657,94.0888893,126.8923669,119.5109766,85.45122876,-12.82409104,-9.178654562,Low
233,R17W82,exp3A,Ammonium,237,R17W82_exp3A,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,176.3306293,200.5390347,174.1333806,129.2041552,135.4695351,96.1249981,-47.12647407,-26.72619855,Low
774,R17W83,exp1B,Nitrate,184,R17W83_exp1B,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18,30,S,A,121.4000929,132.703107,106.4741869,123.1918591,139.903515,116.2737256,1.791766182,1.475918296,Elevated
225,R17W83,exp2A,Ammonium,232,R17W83_exp2A,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,227.0079723,264.8535711,224.0431612,186.4205285,211.5080567,169.5390235,-40.58744377,-17.87930325,Low
167,R1W2,exp1B,Ammonium,167,R1W2_exp1B,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,223.7759313,208.9322301,183.4551269,230.7828059,218.6416579,190.5109076,7.006874661,3.131201207,Low
196,R1W3,exp1B,Ammonium,178,R1W3_exp1B,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,156.1868111,123.872002,94.49645457,145.9674916,111.5481957,86.4484361,-10.21931946,-6.543010506,Low
745,R1W3,exp2A,Nitrate,174,R1W3_exp2A,N_18_20_F_A,N_18_20_F,10.9255,4.173,N_18,20,F,A,195.5066933,204.0722111,164.7391682,228.9781962,227.4222243,183.9029621,33.47150291,17.12038721,Elevated
147,R1W5,exp1B,Ammonium,187,R1W5_exp1B,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,143.0419812,152.1343387,109.8940925,162.275786,180.535804,151.2413332,19.23380482,13.44626568,Low
767,R1W5,exp2A,Nitrate,199,R1W5_exp2A,N_18_20_F_A,N_18_20_F,10.9255,4.173,N_18,20,F,A,192.3198793,238.1276169,182.6771697,201.6781372,228.7976236,188.5472388,9.35825785,4.865985713,Elevated
816,R1W6,exp2A,Nitrate,226,R1W6_exp2A,N_18_20_F_A,N_18_20_F,10.9255,4.173,N_18,20,F,A,231.256957,253.9372614,210.0683538,198.8677057,206.7908378,161.5536399,-32.38925124,-14.00574135,Elevated
195,R20W87,exp1A,Ammonium,150,R20W87_exp1A,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,242.3599096,244.5965958,221.7017816,227.0820238,239.0836158,206.3291443,-15.27788578,-6.303800743,Low
213,R20W87,exp2B,Ammonium,184,R20W87_exp2B,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,173.5629708,202.4387876,172.2980912,155.5379907,186.7832581,156.9093611,-18.0249801,-10.38526825,Low
144,R20W88,exp1A,Ammonium,165,R20W88_exp1A,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,182.7449974,180.0109454,135.5679046,211.4948408,203.4230256,155.4002638,28.7498434,15.73221911,Low
186,R20W88,exp2B,Ammonium,225,R20W88_exp2B,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,150.3053182,171.1369408,128.1986394,145.6388137,165.9756679,124.7500526,-4.666504502,-3.104683559,Low
154,R21W55,exp3A,Ammonium,243,R21W55_exp3A,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,142.039568,110.5871714,93.49268671,156.7801707,119.5824622,90.67436235,14.74060271,10.37781438,Low
790,R21W94,exp1B,Nitrate,166,R21W94_exp1B,N_18_30_F_A,N_18_30_F,11.664,8.8355,N_18,30,F,A,176.7948546,160.6982653,130.0840709,173.4134921,154.2600223,113.5924549,-3.381362554,-1.912591043,Elevated
