col_num,treat_ID_full,red_day1,red_day11,red_delta,red_percent_change,pollution,dose,temp,feed,symbiont,rgb_status,PercOutliersCheck,dose_level,new_treat_ID_full
256,N_1.5_20_S_A,167.1533645,203.6437028,36.49033831,21.83045398,Nitrate,1.5,20,Starved,Aposymbiotic,bleached,NA,Low,Nitrate_Low_20_Starved_Aposymbiotic
228,N_18_30_F_A,112.9454841,137.0629004,24.11741635,21.35314798,Nitrate,18,30,Fed,Aposymbiotic,bleached,NA,High,Nitrate_High_30_Fed_Aposymbiotic
240,A_5_30_F_S,124.5401962,150.9914119,26.45121561,21.23909903,Ammonium,5,30,Fed,Symbiotic,bleached,NA,Low,Ammonium_Low_30_Fed_Symbiotic
252,A_0_30_F_S,184.6236803,223.7332347,39.10955442,21.18339011,Ammonium,0,30,Fed,Symbiotic,bleached,NA,control-0,Ammonium_control-0_30_Fed_Symbiotic
240,A_10_20_S_S,133.0160488,161.1163895,28.10034065,21.1255265,Ammonium,10,20,Starved,Symbiotic,bleached,NA,High,Ammonium_High_20_Starved_Symbiotic
168,N_18_30_F_A,96.73946458,116.7800889,20.04062435,20.71607946,Nitrate,18,30,Fed,Aposymbiotic,bleached,NA,High,Nitrate_High_30_Fed_Aposymbiotic
210,A_10_20_F_A,148.5655037,179.3255322,30.76002844,20.70469097,Ammonium,10,20,Fed,Aposymbiotic,bleached,NA,High,Ammonium_High_20_Fed_Aposymbiotic
251,N_0_30_F_S,144.3653044,174.1647868,29.79948242,20.64172035,Nitrate,0,30,Fed,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Fed_Symbiotic
183,N_5_30_F_A,138.069738,166.5692464,28.49950846,20.64138665,Nitrate,5,30,Fed,Aposymbiotic,bleached,NA,Medium,Nitrate_Medium_30_Fed_Aposymbiotic
246,N_1.5_30_F_S,167.9270956,202.1409007,34.21380512,20.37420167,Nitrate,1.5,30,Fed,Symbiotic,bleached,NA,Low,Nitrate_Low_30_Fed_Symbiotic
225,N_1.5_30_S_S,100.151368,120.4622958,20.31092789,20.28023012,Nitrate,1.5,30,Starved,Symbiotic,bleached,NA,Low,Nitrate_Low_30_Starved_Symbiotic
208,N_1.5_20_S_S,100.3588425,120.5994791,20.24063664,20.16826434,Nitrate,1.5,20,Starved,Symbiotic,bleached,NA,Low,Nitrate_Low_20_Starved_Symbiotic
193,N_1.5_30_S_A,173.2990252,208.1475988,34.84857363,20.10892652,Nitrate,1.5,30,Starved,Aposymbiotic,bleached,NA,Low,Nitrate_Low_30_Starved_Aposymbiotic
213,A_10_20_F_A,143.6970067,172.143793,28.44678629,19.79636664,Ammonium,10,20,Fed,Aposymbiotic,bleached,NA,High,Ammonium_High_20_Fed_Aposymbiotic
153,N_0_30_F_S,138.200003,165.0176313,26.8176283,19.40494047,Nitrate,0,30,Fed,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Fed_Symbiotic
169,A_0_30_S_A,141.019069,168.2846519,27.2655829,19.334678,Ammonium,0,30,Starved,Aposymbiotic,bleached,NA,control-0,Ammonium_control-0_30_Starved_Aposymbiotic
257,N_18_30_S_A,132.2515574,157.7238538,25.47229642,19.26048882,Nitrate,18,30,Starved,Aposymbiotic,bleached,NA,High,Nitrate_High_30_Starved_Aposymbiotic
182,A_10_30_F_S,95.92014464,114.3733066,18.45316195,19.23804641,Ammonium,10,30,Fed,Symbiotic,bleached,NA,High,Ammonium_High_30_Fed_Symbiotic
241,A_5_30_S_S,139.384334,166.0798101,26.69547609,19.15242217,Ammonium,5,30,Starved,Symbiotic,bleached,NA,Low,Ammonium_Low_30_Starved_Symbiotic
185,N_0_30_F_S,126.9045942,151.0932859,24.18869166,19.06053269,Nitrate,0,30,Fed,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Fed_Symbiotic
186,A_5_30_F_A,161.6205816,192.3851043,30.7645227,19.03502784,Ammonium,5,30,Fed,Aposymbiotic,bleached,NA,Low,Ammonium_Low_30_Fed_Aposymbiotic
252,A_10_20_S_S,161.8590488,192.6335805,30.77453171,19.01316729,Ammonium,10,20,Starved,Symbiotic,bleached,NA,High,Ammonium_High_20_Starved_Symbiotic
199,N_5_20_F_A,130.2559052,154.833778,24.57787279,18.8689125,Nitrate,5,20,Fed,Aposymbiotic,bleached,NA,Medium,Nitrate_Medium_20_Fed_Aposymbiotic
189,N_5_30_S_S,106.535402,126.6284618,20.09305982,18.86045337,Nitrate,5,30,Starved,Symbiotic,bleached,NA,Medium,Nitrate_Medium_30_Starved_Symbiotic
246,N_5_30_F_S,147.0035321,174.5942704,27.59073827,18.76875873,Nitrate,5,30,Fed,Symbiotic,bleached,NA,Medium,Nitrate_Medium_30_Fed_Symbiotic
210,A_5_30_F_A,158.0674861,187.5814946,29.51400856,18.67177703,Ammonium,5,30,Fed,Aposymbiotic,bleached,NA,Low,Ammonium_Low_30_Fed_Aposymbiotic
239,A_5_20_F_S,75.15196068,89.11822606,13.96626539,18.58403328,Ammonium,5,20,Fed,Symbiotic,bleached,NA,Low,Ammonium_Low_20_Fed_Symbiotic
169,N_0_20_F_A,114.2485725,135.4510951,21.20252264,18.55823856,Nitrate,0,20,Fed,Aposymbiotic,bleached,NA,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
202,N_18_30_F_A,160.3334797,190.0528261,29.71934635,18.53595793,Nitrate,18,30,Fed,Aposymbiotic,bleached,NA,High,Nitrate_High_30_Fed_Aposymbiotic
174,N_18_20_F_S,137.2280704,162.5650766,25.3370062,18.46342816,Nitrate,18,20,Fed,Symbiotic,bleached,NA,High,Nitrate_High_20_Fed_Symbiotic
240,A_7.5_30_F_S,124.6228165,147.5526667,22.92985015,18.39939971,Ammonium,7.5,30,Fed,Symbiotic,bleached,NA,Medium,Ammonium_Medium_30_Fed_Symbiotic
232,A_5_30_F_A,131.5027055,155.3634811,23.86077557,18.14470317,Ammonium,5,30,Fed,Aposymbiotic,bleached,NA,Low,Ammonium_Low_30_Fed_Aposymbiotic
164,N_5_20_S_S,135.7311418,160.3464298,24.61528797,18.13532814,Nitrate,5,20,Starved,Symbiotic,bleached,NA,Medium,Nitrate_Medium_20_Starved_Symbiotic
249,A_10_30_F_S,140.5054034,165.695056,25.18965261,17.92788889,Ammonium,10,30,Fed,Symbiotic,bleached,NA,High,Ammonium_High_30_Fed_Symbiotic
198,A_10_30_S_A,159.7769163,188.4133189,28.63640259,17.92274081,Ammonium,10,30,Starved,Aposymbiotic,bleached,NA,High,Ammonium_High_30_Starved_Aposymbiotic
