col_num,treat_ID_full,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,pollution,dose,temp,feed,symbiont,pam_status,PercOutliersCheck,dose_level,new_treat_ID_full
239,N_0_20_F_S,0.545,0.591,0.046,0.08440367,-3.079113882,Nitrate,0,20,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
240,N_0_20_F_S,0.491,0.343,-0.148,-0.301425662,-1.910543005,Nitrate,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
223,N_0_20_F_A,0.353,0.237,-0.116,-0.328611898,-2.154165088,Nitrate,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
237,N_0_20_F_A,0.496,0.342,-0.154,-0.310483871,-1.870802677,Nitrate,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
237,N_0_20_F_A,0.561,0.372,-0.189,-0.336898396,-1.666008264,Nitrate,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
241,N_0_20_S_S,0.596,0.023,-0.573,-0.961409396,-0.556869562,Nitrate,0,20,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
227,N_0_20_S_A,0.329,0.408,0.079,0.240121581,-2.538307427,Nitrate,0,20,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
237,N_0_20_S_A,0.343,0.197,-0.146,-0.425655977,-1.924148657,Nitrate,0,20,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
237,N_0_20_S_A,0.532,0.515,-0.017,-0.031954887,-4.074541935,Nitrate,0,20,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
239,N_0_20_S_S,0.571,0.02,-0.551,-0.96497373,-0.59602047,Nitrate,0,20,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
226,N_0_30_F_A,0.509,0.249,-0.26,-0.510805501,-1.347073648,Nitrate,0,30,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
237,N_0_30_F_A,0.303,0.485,0.182,0.600660066,-1.703748592,Nitrate,0,30,Fed,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
237,N_0_30_F_A,0.427,0.421,-0.006,-0.014051522,-5.11599581,Nitrate,0,30,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
239,N_0_30_F_S,0.523,0.513,-0.01,-0.019120459,-4.605170186,Nitrate,0,30,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
240,N_0_30_F_S,0.416,0.386,-0.03,-0.072115385,-3.506557897,Nitrate,0,30,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
229,N_0_30_F_A,0.548,0.358,-0.19,-0.346715328,-1.660731207,Nitrate,0,30,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
237,N_0_30_S_A,0.35,0.389,0.039,0.111428571,-3.244193633,Nitrate,0,30,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
237,N_0_30_S_A,0.3,0.437,0.137,0.456666667,-1.987774353,Nitrate,0,30,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
239,N_0_30_S_A,0.518,0.513,-0.005,-0.00965251,-5.298317367,Nitrate,0,30,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
241,N_0_30_S_S,0.541,0.55,0.009,0.01663586,-4.710530702,Nitrate,0,30,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
235,N_0_30_S_S,0.448,0.477,0.029,0.064732143,-3.540459449,Nitrate,0,30,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
238,N_0_20_F_A,0.318,0.436,0.118,0.371069182,-2.137070655,Nitrate,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
242,N_0_20_F_S,0.422,0.442,0.02,0.047393365,-3.912023005,Nitrate,0,20,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
251,N_0_20_F_S,0.481,0.396,-0.085,-0.176715177,-2.465104022,Nitrate,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
245,N_0_20_F_S,0.558,0.14,-0.418,-0.749103943,-0.872273846,Nitrate,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
256,N_0_20_F_S,0.139,0.585,0.446,3.208633094,-0.807436327,Nitrate,0,20,Fed,Symbiotic,increase,TRUE,control-0,Nitrate_control-0_20_Fed_Symbiotic
249,N_0_20_S_S,0.553,0.337,-0.216,-0.390596745,-1.532476871,Nitrate,0,20,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
252,N_0_20_S_S,0.539,0.583,0.044,0.081632653,-3.123565645,Nitrate,0,20,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
257,N_0_20_S_A,0.575,0.042,-0.533,-0.926956522,-0.629233855,Nitrate,0,20,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
238,N_0_20_S_A,0.301,0.353,0.052,0.172757475,-2.95651156,Nitrate,0,20,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
238,N_0_30_F_A,0.359,0.32,-0.039,-0.108635097,-3.244193633,Nitrate,0,30,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
242,N_0_30_F_S,0.414,0.359,-0.055,-0.132850242,-2.900422094,Nitrate,0,30,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
251,N_0_30_F_S,0.568,0.554,-0.014,-0.024647887,-4.268697949,Nitrate,0,30,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
245,N_0_30_F_S,0.047,0.384,0.337,7.170212766,-1.087672349,Nitrate,0,30,Fed,Symbiotic,increase,TRUE,control-0,Nitrate_control-0_30_Fed_Symbiotic
256,N_0_30_F_S,0.013,0.449,0.436,33.53846154,-0.830113036,Nitrate,0,30,Fed,Symbiotic,increase,TRUE,control-0,Nitrate_control-0_30_Fed_Symbiotic
250,N_0_30_S_S,0.528,0.24,-0.288,-0.545454545,-1.244794799,Nitrate,0,30,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
252,N_0_30_S_S,0.472,0.221,-0.251,-0.531779661,-1.38230234,Nitrate,0,30,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
243,N_0_30_S_A,0.556,0.575,0.019,0.034172662,-3.9633163,Nitrate,0,30,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
238,N_0_30_S_A,0.419,0.536,0.117,0.279236277,-2.145581344,Nitrate,0,30,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
244,N_0_30_F_A,0.512,0.583,0.071,0.138671875,-2.645075402,Nitrate,0,30,Fed,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
194,A_0_20_F_A,0.417,0.359,-0.058,-0.139088729,-2.847312268,Ammonium,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
234,A_0_20_F_A,0.475,0.149,-0.326,-0.686315789,-1.120857898,Ammonium,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
209,A_0_20_F_A,0.406,0.572,0.166,0.408866995,-1.795767491,Ammonium,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
237,A_0_20_F_A,0.415,0.405,-0.01,-0.024096386,-4.605170186,Ammonium,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
231,A_0_20_F_A,0.538,0.639,0.101,0.187732342,-2.292634762,Ammonium,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
237,A_0_20_F_A,0.475,0.401,-0.074,-0.155789474,-2.603690186,Ammonium,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
152,A_0_20_F_A,0.337,0.553,0.216,0.640949555,-1.532476871,Ammonium,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
152,A_0_20_F_A,0.162,0.391,0.229,1.413580247,-1.474033275,Ammonium,0,20,Fed,Aposymbiotic,increase,TRUE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
167,A_0_20_F_A,0.333,0.541,0.208,0.624624625,-1.570217199,Ammonium,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
178,A_0_20_F_A,0.22,0.458,0.238,1.081818182,-1.435484605,Ammonium,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
184,A_0_20_F_A,0.12,0.248,0.128,1.066666667,-2.055725015,Ammonium,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
170,A_0_20_F_A,0.46,0.538,0.078,0.169565217,-2.551046452,Ammonium,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
212,A_0_20_F_A,0.433,0.376,-0.057,-0.131639723,-2.864704011,Ammonium,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
242,A_0_20_F_A,0.425,0.475,0.05,0.117647059,-2.995732274,Ammonium,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
242,A_0_20_F_A,0.34,0.435,0.095,0.279411765,-2.353878387,Ammonium,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
193,A_0_20_F_S,0.536,0.113,-0.423,-0.789179104,-0.8603831,Ammonium,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Symbiotic
239,A_0_20_F_S,0.536,0.032,-0.504,-0.940298507,-0.685179011,Ammonium,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Symbiotic
220,A_0_20_F_S,0.525,0.135,-0.39,-0.742857143,-0.94160854,Ammonium,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Symbiotic
241,A_0_20_F_S,0.601,0.472,-0.129,-0.214642263,-2.047942875,Ammonium,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Symbiotic
143,A_0_20_F_S,0.406,0.111,-0.295,-0.726600985,-1.220779923,Ammonium,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Ammonium_control-0_20_Fed_Symbiotic
