"","col_num","treat_ID_full","e_coli","abs_resp_rate_SA_corr","pollution","dose","temp","feed","symbiont","dose_level","new_treat_ID_full"
"95",150,"N_5_20_S_A",0,0.089304534,"Nitrate","5","20","Starved","Aposymbiotic","Medium","Nitrate_Medium_20_Starved_Aposymbiotic"
"96",154,"N_5_20_S_S",0,0.1502114,"Nitrate","5","20","Starved","Symbiotic","Medium","Nitrate_Medium_20_Starved_Symbiotic"
"97",157,"N_5_20_S_S",1,0.110184548,"Nitrate","5","20","Starved","Symbiotic","Medium","Nitrate_Medium_20_Starved_Symbiotic"
"98",153,"A_7.5_20_F_A",1,0.062696415,"Ammonium","7.5","20","Fed","Aposymbiotic","Medium","Ammonium_Medium_20_Fed_Aposymbiotic"
"99",143,"A_7.5_20_F_A",0,0.039049428,"Ammonium","7.5","20","Fed","Aposymbiotic","Medium","Ammonium_Medium_20_Fed_Aposymbiotic"
"100",152,"A_7.5_20_F_S",1,0.143683304,"Ammonium","7.5","20","Fed","Symbiotic","Medium","Ammonium_Medium_20_Fed_Symbiotic"
"101",155,"A_7.5_20_F_S",0,0.109400745,"Ammonium","7.5","20","Fed","Symbiotic","Medium","Ammonium_Medium_20_Fed_Symbiotic"
"102",162,"N_5_30_S_A",1,0.08295419,"Nitrate","5","30","Starved","Aposymbiotic","Medium","Nitrate_Medium_30_Starved_Aposymbiotic"
"103",151,"N_5_30_S_A",0,0.123180422,"Nitrate","5","30","Starved","Aposymbiotic","Medium","Nitrate_Medium_30_Starved_Aposymbiotic"
"104",152,"N_5_30_S_S",0,0.050806969,"Nitrate","5","30","Starved","Symbiotic","Medium","Nitrate_Medium_30_Starved_Symbiotic"
"105",155,"N_5_30_S_S",1,0.077830158,"Nitrate","5","30","Starved","Symbiotic","Medium","Nitrate_Medium_30_Starved_Symbiotic"
"106",161,"A_7.5_30_F_A",1,0.1530478,"Ammonium","7.5","30","Fed","Aposymbiotic","Medium","Ammonium_Medium_30_Fed_Aposymbiotic"
"107",145,"A_7.5_30_F_A",0,0.054938458,"Ammonium","7.5","30","Fed","Aposymbiotic","Medium","Ammonium_Medium_30_Fed_Aposymbiotic"
"108",144,"A_7.5_30_F_S",1,0.06843175,"Ammonium","7.5","30","Fed","Symbiotic","Medium","Ammonium_Medium_30_Fed_Symbiotic"
"109",157,"A_7.5_30_F_S",0,0.08307346,"Ammonium","7.5","30","Fed","Symbiotic","Medium","Ammonium_Medium_30_Fed_Symbiotic"
"110",162,"A_7.5_20_S_A",0,0.088052864,"Ammonium","7.5","20","Starved","Aposymbiotic","Medium","Ammonium_Medium_20_Starved_Aposymbiotic"
"111",154,"A_7.5_20_S_A",1,0.14476369,"Ammonium","7.5","20","Starved","Aposymbiotic","Medium","Ammonium_Medium_20_Starved_Aposymbiotic"
"112",144,"A_7.5_20_S_S",1,0.112740043,"Ammonium","7.5","20","Starved","Symbiotic","Medium","Ammonium_Medium_20_Starved_Symbiotic"
"113",157,"A_7.5_20_S_S",0,0.087918457,"Ammonium","7.5","20","Starved","Symbiotic","Medium","Ammonium_Medium_20_Starved_Symbiotic"
"114",142,"N_5_20_F_S",0,0.06590733,"Nitrate","5","20","Fed","Symbiotic","Medium","Nitrate_Medium_20_Fed_Symbiotic"
"115",153,"N_5_20_F_S",1,0.113456239,"Nitrate","5","20","Fed","Symbiotic","Medium","Nitrate_Medium_20_Fed_Symbiotic"
"116",168,"N_5_20_F_A",1,0.224418394,"Nitrate","5","20","Fed","Aposymbiotic","Medium","Nitrate_Medium_20_Fed_Aposymbiotic"
"117",150,"N_5_20_F_A",0,0.098241768,"Nitrate","5","20","Fed","Aposymbiotic","Medium","Nitrate_Medium_20_Fed_Aposymbiotic"
"118",157,"A_7.5_30_S_S",1,0.092539161,"Ammonium","7.5","30","Starved","Symbiotic","Medium","Ammonium_Medium_30_Starved_Symbiotic"
"119",156,"A_7.5_30_S_A",1,0.111078813,"Ammonium","7.5","30","Starved","Aposymbiotic","Medium","Ammonium_Medium_30_Starved_Aposymbiotic"
"120",153,"A_7.5_30_S_S",0,0.058912672,"Ammonium","7.5","30","Starved","Symbiotic","Medium","Ammonium_Medium_30_Starved_Symbiotic"
"121",158,"A_7.5_30_S_A",0,0.058328524,"Ammonium","7.5","30","Starved","Aposymbiotic","Medium","Ammonium_Medium_30_Starved_Aposymbiotic"
