col_num,treat_ID_full,e_coli,resp_rate,pollution,dose,temp,feed,symbiont,dose_level,new_treat_ID_full
153,A_7.5_20_F_A,1,-0.0028100000000000004,Ammonium,7.5,20,Fed,Aposymbiotic,Medium,Ammonium_Medium_20_Fed_Aposymbiotic
143,A_7.5_20_F_A,0,-0.0043300000000000005,Ammonium,7.5,20,Fed,Aposymbiotic,Medium,Ammonium_Medium_20_Fed_Aposymbiotic
152,A_7.5_20_F_S,1,-0.005110000000000001,Ammonium,7.5,20,Fed,Symbiotic,Medium,Ammonium_Medium_20_Fed_Symbiotic
155,A_7.5_20_F_S,0,-0.00434,Ammonium,7.5,20,Fed,Symbiotic,Medium,Ammonium_Medium_20_Fed_Symbiotic
162,N_5_30_S_A,1,-0.00466,Nitrate,5,30,Starved,Aposymbiotic,Medium,Nitrate_Medium_30_Starved_Aposymbiotic
151,N_5_30_S_A,0,-0.0058000000000000005,Nitrate,5,30,Starved,Aposymbiotic,Medium,Nitrate_Medium_30_Starved_Aposymbiotic
152,N_5_30_S_S,0,-0.00237,Nitrate,5,30,Starved,Symbiotic,Medium,Nitrate_Medium_30_Starved_Symbiotic
155,N_5_30_S_S,1,-0.00367,Nitrate,5,30,Starved,Symbiotic,Medium,Nitrate_Medium_30_Starved_Symbiotic
161,A_7.5_30_F_A,1,-0.00417,Ammonium,7.5,30,Fed,Aposymbiotic,Medium,Ammonium_Medium_30_Fed_Aposymbiotic
145,A_7.5_30_F_A,0,-0.0022700000000000003,Ammonium,7.5,30,Fed,Aposymbiotic,Medium,Ammonium_Medium_30_Fed_Aposymbiotic
144,A_7.5_30_F_S,1,-0.0025900000000000003,Ammonium,7.5,30,Fed,Symbiotic,Medium,Ammonium_Medium_30_Fed_Symbiotic
157,A_7.5_30_F_S,0,-0.00396,Ammonium,7.5,30,Fed,Symbiotic,Medium,Ammonium_Medium_30_Fed_Symbiotic
162,A_7.5_20_S_A,0,-0.0053300000000000005,Ammonium,7.5,20,Starved,Aposymbiotic,Medium,Ammonium_Medium_20_Starved_Aposymbiotic
154,A_7.5_20_S_A,1,-0.004200000000000001,Ammonium,7.5,20,Starved,Aposymbiotic,Medium,Ammonium_Medium_20_Starved_Aposymbiotic
144,A_7.5_20_S_S,1,-0.00445,Ammonium,7.5,20,Starved,Symbiotic,Medium,Ammonium_Medium_20_Starved_Symbiotic
157,A_7.5_20_S_S,0,-0.00444,Ammonium,7.5,20,Starved,Symbiotic,Medium,Ammonium_Medium_20_Starved_Symbiotic
142,N_5_20_F_S,0,-0.00462,Nitrate,5,20,Fed,Symbiotic,Medium,Nitrate_Medium_20_Fed_Symbiotic
153,N_5_20_F_S,1,-0.00391,Nitrate,5,20,Fed,Symbiotic,Medium,Nitrate_Medium_20_Fed_Symbiotic
168,N_5_20_F_A,1,-0.005220000000000001,Nitrate,5,20,Fed,Aposymbiotic,Medium,Nitrate_Medium_20_Fed_Aposymbiotic
150,N_5_20_F_A,0,-0.005730000000000001,Nitrate,5,20,Fed,Aposymbiotic,Medium,Nitrate_Medium_20_Fed_Aposymbiotic
157,A_7.5_30_S_S,1,-0.00368,Ammonium,7.5,30,Starved,Symbiotic,Medium,Ammonium_Medium_30_Starved_Symbiotic
156,A_7.5_30_S_A,1,-0.0039000000000000003,Ammonium,7.5,30,Starved,Aposymbiotic,Medium,Ammonium_Medium_30_Starved_Aposymbiotic
153,A_7.5_30_S_S,0,-0.0027300000000000002,Ammonium,7.5,30,Starved,Symbiotic,Medium,Ammonium_Medium_30_Starved_Symbiotic
158,A_7.5_30_S_A,0,-0.005790000000000001,Ammonium,7.5,30,Starved,Aposymbiotic,Medium,Ammonium_Medium_30_Starved_Aposymbiotic
