station,depth,year_month_day,year,month,day,arrival.time.local,latitude.degrees,latitude.decimal.minutes,longitude.degrees,longitude.decimal.minutes,weather,rain.previous.24,crew,secchi.depth.meters,secchi.on.bottom,station.depth.meters,sample.depth.meters,temperature.celsius,do.mgl,do.percent.saturation,salinity.ppt,pH.nbs,ph.mv,chlorophyll.ugl,d13c.permil,d15n.permil,carbon.mg.l,nitrogen.mg.l,doc.mgl,nitrate.plus.nitrite.uml,nitrite.uml,nitrate.uml,orthophosphate.uml,ammonia.uml,tss.mgl,percent.organic,comments.field,flag.field,comments.chlorophyll,flag.chlorophyll,comments.isotopes,flag.isotopes,comments.doc,flag.doc,comments.nitrate.plus.nitrite,flag.nitrate.plus.nitrite,comments.nitrite,flag.nitrite,comments.orthophosphate,flag.orthophosphate,comments.ammonia,flag.ammonia,comments.tss,flag.tss
5,bottom,4/2/2014,2014,04,2,803,41,29.559,71,24.698,"Wind: 5 knots, Air Temp: 1.7 °C Sea State: flat, miscelaneous: partly cloudy, calm",n,"DC, RM",3.8,n,15.3,9,3.6,NA,NA,31.29,8.01,NA,3,-21.3,9.5,NA,NA,1.47,1,0,1,1.3,2.25,25.85,7.74,no DO readings due to instrument malfunction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,surface,4/3/2014,2014,04,3,955,41,38.496,71,18.625,"Wind: 10-12 knots, Air Temp: NA, Sea State: NA, miscelaneous: clear, sunny",n,"DC, JL, CW",4,n,11,1,4.6,NA,NA,26.99,8.08,NA,2.9,-22.6,8.1,NA,NA,2.14,3.43,0,3.43,1.2,2.04,10.12,19.58,no DO readings due to instrument malfunction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,mid,4/3/2014,2014,04,3,955,41,38.496,71,18.625,"Wind: 10-12 knots, Air Temp: NA, Sea State: NA, miscelaneous: clear, sunny",n,"DC, JL, CW",4,n,11,5.5,3.7,NA,NA,30.01,8.06,NA,3.7,-21.7,8.8,NA,NA,3.03,1.55,0,1.55,1.4,2.93,8.95,34.08,no DO readings due to instrument malfunction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,bottom,4/3/2014,2014,04,3,955,41,38.496,71,18.625,"Wind: 10-12 knots, Air Temp: NA, Sea State: NA, miscelaneous: clear, sunny",n,"DC, JL, CW",4,n,11,9,3.5,NA,NA,30.9,8.04,NA,4.8,-22.9,9,NA,NA,1.94,1.31,0,1.31,1.18,1.97,5.56,45.03,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,surface,4/2/2014,2014,04,2,946,41,34.013,71,18.663,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",n,"DC, RM",4.8,n,19.4,1,3.8,NA,NA,29.78,8.06,NA,1.8,-22.8,8.5,NA,NA,2.64,2.18,0,2.18,1.28,2.04,5.44,26.84,no DO readings due to instrument malfunction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,mid,4/2/2014,2014,04,2,946,41,34.013,71,18.663,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",n,"DC, RM",4.8,n,19.4,9,3.5,NA,NA,31.33,8.07,NA,1.2,-23,8.8,NA,NA,1.66,1.15,0,1.15,1.27,2.02,2.82,12.77,no DO readings due to instrument malfunction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,bottom,4/2/2014,2014,04,2,946,41,34.013,71,18.663,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",n,"DC, RM",4.8,n,19.4,NA,NA,NA,NA,NA,NA,NA,1.1,-22,8.4,NA,NA,2.16,1.08,0,1.08,1.25,1.71,10.64,12.22,no DO readings due to instrument malfunction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,surface,4/2/2014,2014,04,2,857,41,29.685,71,21.231,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",n,"DC, RM",4.6,n,34.4,1,3.9,NA,NA,29.84,8.02,NA,2.9,-22.6,8.6,NA,NA,2.33,1.93,0,1.93,1.46,2.91,2.64,15.15,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,mid,4/2/2014,2014,04,2,857,41,29.685,71,21.231,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",n,"DC, RM",4.6,n,34.4,9,3.6,NA,NA,30.82,8.05,NA,0.8,-24,8.1,NA,NA,1.83,1.08,0,1.08,1.64,3.46,3.06,16.99,no DO readings due to instrument malfunction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,bottom,4/2/2014,2014,04,2,857,41,29.685,71,21.231,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",n,"DC, RM",4.6,n,34.4,NA,NA,NA,NA,NA,NA,NA,0.7,-23.2,8.2,NA,NA,1.49,1.01,0,1.01,1.6,3.02,7.14,8.96,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
