num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
14,09_01_22,3,A,1,0,B4,B4,-0.00819,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B22G31,3A,B22G31_exp3A,239,130,0
14,7_26_22,1,B,1,1,B4,B4,-0.00228,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B23G35,1B,B23G35_exp1B,184,35,0
14,08_15_22,2,A,1,0,B4,B4,-0.00946,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B22G27,2A,B22G27_exp2A,207,66,0
14,08_15_22,2,A,1,1,B4,B4,-0.00715,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B22G30,2A,B22G30_exp2A,228,66,0
14,09_05_22,3,B,1,1,B4,B4,-0.00384,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,O2B8,3B,O2B8_exp3B,242,169,0
15,7_26_22,1,B,1,1,C4,C4,-0.0026,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B23G37,1B,B23G37_exp1B,172,35,0
15,09_01_22,3,A,1,1,C4,C4,-0.00465,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B22G27,3A,B22G27_exp3A,241,130,0
15,7_26_22,1,A,1,1,C4,C4,-0.00514,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B15G25,1A,B15G25_exp1A,157,2,0
15,09_01_22,3,A,1,0,C4,C4,-0.00464,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B25G44,3A,B25G44_exp3A,237,133,0
15,08_15_22,2,A,1,1,C4,C4,-0.00675,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B22G31,2A,B22G31_exp2A,186,66,0
15,7_26_22,1,A,1,0,C4,C4,-0.0044,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B27G54,1A,B27G54_exp1A,150,4,0
15,7_26_22,1,B,1,0,C4,C4,-0.00138,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B29G64,1B,B29G64_exp1B,164,39,0
16,09_01_22,3,A,1,0,D4,D4,-0.00385,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G47,3A,B25G47_exp3A,240,133,0
16,7_26_22,1,A,1,1,D4,D4,-0.00303,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B27G53,1A,B27G53_exp1A,168,4,0
16,09_05_22,3,B,1,0,D4,D4,-0.00446,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W1O3,3B,W1O3_exp3B,251,177,0
16,09_01_22,3,A,1,1,D4,D4,-0.00355,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B25G43,3A,B25G43_exp3A,226,133,0
16,7_26_22,1,B,1,0,D4,D4,-0.00423,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B29G70,1B,B29G70_exp1B,161,39,0
16,7_26_22,1,A,1,0,D4,D4,-0.00437,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B27G57,1A,B27G57_exp1A,153,4,0
17,08_15_22,2,A,1,1,A5,A5,-0.00501,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G47,2A,B25G47_exp2A,206,69,0
17,09_01_22,3,A,1,0,A5,A5,-0.0078,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G50,3A,B26G50_exp3A,237,134,0
17,09_05_22,3,B,1,0,A5,A5,-0.00787,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,W2O7,3B,W2O7_exp3B,238,186,0
17,09_01_22,3,A,1,1,A5,A5,-0.00517,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G46,3A,B25G46_exp3A,239,133,0
17,08_20_22,2,B,1,0,A5,A5,-0.00332,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B32G83,2B,B32G83_exp2B,170,102,0
18,7_26_22,1,A,1,1,B5,B5,-0.00244,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B30G72,1A,B30G72_exp1A,162,5,0
18,08_15_22,2,A,1,1,B5,B5,-0.00219,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G49,2A,B26G49_exp2A,206,70,0
18,09_01_22,3,A,1,0,B5,B5,-0.00534,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B26G52,3A,B26G52_exp3A,241,134,0
18,7_26_22,1,A,1,0,B5,B5,-0.00328,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B30G75,1A,B30G75_exp1A,154,5,0
19,7_26_22,1,B,1,1,C5,C5,-0.00274,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B32G88,1B,B32G88_exp1B,172,40,0
