beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
O15Y21_exp3B,-0.00667,0.01767,-1.951928221,A_7.5_20_A,7.5,20,A,0,242
O14Y13_exp3B,-0.00336,-0.03353,-3.244193633,A_7.5_20_A,7.5,20,A,0,242
Y11B56_exp1A,-0.00433,0.05044,-1.703748592,A_7.5_20_A,7.5,20,A,0,143
Y17B87_exp1A,-0.00533,-0.03861,-3.442019376,A_7.5_20_A,7.5,20,A,0,162
Y23B1927_exp1B,-0.00293,0.17039,-1.910543005,A_7.5_20_S,7.5,20,S,0,167
Y20B100_exp1B,-0.00552,0.02777,-1.832581464,A_7.5_20_S,7.5,20,S,0,166
Y11B59_exp1A,-0.00434,0.08365,-2.145581344,A_7.5_20_S,7.5,20,S,0,155
Y7B43_exp2A,-0.00252,-0.05003,-2.63108916,A_7.5_20_S,7.5,20,S,0,198
Y4B33_exp3A,-0.00415,-0.02226,-1.394326533,A_7.5_20_S,7.5,20,S,0,240
Y8B48_exp2A,-0.00316,-0.02104,-2.292634762,A_7.5_20_S,7.5,20,S,0,201
O14Y15_exp3B,-0.00658,-0.07816,-0.525939262,A_7.5_20_S,7.5,20,S,0,248
O15Y23_exp3B,-0.00438,-0.08625,-2.18036746,A_7.5_20_S,7.5,20,S,0,249
Y10B53_exp2B,-0.00106,-0.00191,-0.814185509,A_7.5_20_S,7.5,20,S,0,211
Y17B94_exp1A,-0.00444,-0.07378,-1.350927217,A_7.5_20_S,7.5,20,S,0,157
Y7B43_exp3A,-0.00312,-0.29991,-0.827822084,A_7.5_20_S,7.5,20,S,0,240
Y11B58_exp2B,-0.00218,-0.04209,-0.986176859,A_7.5_20_S,7.5,20,S,0,217
W13O56_exp3B,-0.00238,0.13691,-2.162823151,A_7.5_30_A,7.5,30,A,0,242
Y3B25_exp1B,-0.00246,0.0219,-3.036554268,A_7.5_30_A,7.5,30,A,0,167
