num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged,red_day1,red_day11,red_delta
11,7_26_22,1,B,1,0,C3,C3,-0.00123,-0.029779574,0.029779574,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B22G28,1B,B22G28_exp1B,169,34,0,114.2485725,135.4510951,21.20252264
14,08_15_22,2,A,2,1,B4,B4,-0.00482,-0.109437249,0.109437249,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,Nitrate,1.5,30,S,S,G34Y11,2A,G34Y11_exp2A,211,78,0,114.5713439,125.9716604,11.40031651
16,7_26_22,1,B,1,0,D4,D4,-0.00423,-0.065222865,0.065222865,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B29G70,1B,B29G70_exp1B,161,39,0,114.7299142,134.9972383,20.26732406
17,09_01_22,3,A,1,1,A5,A5,-0.00517,-0.085989784,0.085989784,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G46,3A,B25G46_exp3A,239,133,0,115.1157776,110.1987242,-4.917053401
6,08_20_22,2,B,3,1,B2,B2,-0.003,-0.105087146,0.105087146,N_5_30_F_S,N_5_30_F_S,F_S,N_5,N,Nitrate,5,30,F,S,Y14B79,2B,Y14B79_exp2B,223,124,0,115.4663414,108.7812935,-6.685047879
20,08_15_22,2,A,3,1,D5,D5,-0.00205,-0.13233884,0.13233884,N_18_20_S_S,N_18_20_S_S,S_S,N_18,N,Nitrate,18,20,S,S,R10W49,2A,R10W49_exp2A,208,82,0,116.3620313,132.3697373,16.00770607
17,7_26_22,1,A,1,1,A5,A5,-0.0052,-0.098439963,0.098439963,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B27G56,1A,B27G56_exp1A,147,4,0,117.9903273,120.3079098,2.317582456
16,08_15_22,2,A,1,1,D4,D4,-0.00347,-0.079647971,0.079647971,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B25G45,2A,B25G45_exp2A,226,69,0,118.5444912,145.4182097,26.87371845
6,7_26_22,1,B,3,1,B2,B2,-0.00505,-0.085524744,0.085524744,N_5_30_F_S,N_5_30_F_S,F_S,N_5,N,Nitrate,5,30,F,S,Y7B44,1B,Y7B44_exp1B,171,63,0,118.5609904,104.4615987,-14.09939169
12,7_26_22,1,B,2,1,D3,D3,-0.00251,-0.123071238,0.123071238,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,Nitrate,1.5,30,S,A,G24Y42,1B,G24Y42_exp1B,184,42,0,119.2475387,156.2611821,37.01364335
8,08_15_22,2,A,2,1,D2,D2,-0.00378,-0.077192806,0.077192806,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,G23Y3130,2A,G23Y3130_exp2A,206,73,0,119.5487558,NA,NA
13,09_01_22,3,A,2,0,A4,A4,-0.00452,-0.095941011,0.095941011,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,Nitrate,1.5,30,S,S,G34Y10,3A,G34Y10_exp3A,239,142,0,119.6109392,95.23883277,-24.37210645
23,7_26_22,1,A,2,1,C6,C6,-0.00391,-0.113456239,0.113456239,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,Nitrate,5,20,F,S,Y1B12,1A,Y1B12_exp1A,153,25,0,119.973479,112.3114542,-7.662024828
12,09_01_22,3,A,2,1,D3,D3,-0.00572,-0.069497877,0.069497877,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,Nitrate,1.5,30,F,S,G33Y100,3A,G33Y100_exp3A,240,141,0,120.3990625,134.4976383,14.09857572
15,7_26_22,1,B,1,1,C4,C4,-0.0026,-0.094563374,0.094563374,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B23G37,1B,B23G37_exp1B,172,35,0,120.7944805,140.4612894,19.66680893
18,09_01_22,3,A,1,1,B5,B5,-0.00598,-0.087619858,0.087619858,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G48,3A,B26G48_exp3A,229,134,0,120.8092575,130.289526,9.480268464
9,7_26_22,1,B,2,1,A3,A3,-0.00507,-0.096420094,0.096420094,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,Nitrate,1.5,20,S,S,G34Y11,1B,G34Y11_exp1B,172,45,0,120.8990213,136.637916,15.73889476
